Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ANSS,ANSYS Inc. Common Stock,$332.72,-7.56,-2.222%,29096348695.00,United States,1996,57766,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$286.11,1.62,0.569%,96016171042.00,United States,2021,1056740,Technology,Computer Software: Programming Data Processing
ARCC,Ares Capital Corporation Common Stock,$21.585,0.005,0.023%,13945553460.00,United States,2004,752135,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,$566.60,-28.44,-4.78%,33539596901.00,Netherlands,2017,187181,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,$128.775,-7.575,-5.556%,133968559751.00,United Kingdom,2023,2991675,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,$671.37,-21.59,-3.116%,264131540828.00,Netherlands,1995,1004780,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$166.33,-4.05,-2.377%,776856919885.00,United States,2009,4931704,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,$599.56,-5.00,-0.827%,45719313499.00,United States,2001,183814,Industrials,Ordnance And Accessories
AZN,AstraZeneca PLC American Depositary Shares,$63.47,-1.57,-2.414%,196794403887.00,United Kingdom,,2520207,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,$247.48,0.44,0.178%,15653040458.00,United States,,112521,Technology,EDP Services
BGNE,BeiGene Ltd. American Depositary Shares,$186.73,-6.56,-3.394%,19908783808.00,Cayman Islands,2016,66887,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,$84.17,0.115,0.137%,29514120017.00,China,2005,979111,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$160.81,-4.08,-2.474%,23433127065.00,United States,,536198,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,$4944.88,-26.10,-0.525%,163659274179.00,United States,,45853,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,$42.935,-0.245,-0.567%,42485290609.00,United States,,1142912,Industrials,Metal Fabrications
