종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"000680","LS네트웍스","KOSPI",,"2900","40","1.40","2820","2920","2755","159740","448807195","228528746400","78803016"
"060370","LS마린솔루션","KOSDAQ","중견기업부","11980","-500","-4.01","12470","12730","11940","190312","2308022910","391372870920","32668854"
"417200","LS머트리얼즈","KOSDAQ","중견기업부","12170","-290","-2.33","12160","12300","11500","493124","5847470110","823332860030","67652659"
"229640","LS에코에너지","KOSPI",,"23200","-900","-3.73","23800","24150","22450","217260","4995921750","710497192800","30624879"
"078020","LS증권","KOSDAQ","우량기업부","4045","-50","-1.22","4110","4110","3970","23120","92764445","224421413550","55481190"
"108320","LX세미콘","KOSPI",,"58100","0","0.00","57800","58700","56600","42490","2444728300","944955830000","16264300"
"001120","LX인터내셔널","KOSPI",,"27500","350","1.29","27200","27500","26650","130772","3544648850","1065900000000","38760000"
"108670","LX하우시스","KOSPI",,"34850","100","0.29","35700","35700","34150","14919","516450950","312523299500","8967670"
"108675","LX하우시스우","KOSPI",,"21300","0","0.00","22000","22000","21250","958","20424000","21988629000","1032330"
"383800","LX홀딩스","KOSPI",,"6700","-30","-0.45","6750","6750","6660","168242","1124292420","511080623000","76280690"
"38380K","LX홀딩스1우","KOSPI",,"8140","-250","-2.98","8450","8450","8020","1410","11469880","11927419900","1465285"
"476080","M83","KOSDAQ","중견기업부","10970","90","0.83","10880","11070","10460","90494","972760090","85401450000","7785000"
"086960","MDS테크","KOSDAQ","중견기업부","934","14","1.52","913","935","873","521945","473435302","86695549992","92821788"
"023150","MH에탄올","KOSPI",,"5020","-100","-1.95","5110","5110","5000","20065","100980400","37040200520","7378526"
"038340","MIT","KOSDAQ","관리종목(소속부없음)","1233","0","0.00","0","0","0","0","0","39979891836","32424892"
"035420","NAVER","KOSPI",,"190000","1500","0.80","190500","191900","188100","1153043","218958430300","30549056520000","160784508"
"160550","NEW","KOSDAQ","중견기업부","2150","65","3.12","2020","2175","2020","72206","152179090","59998127900","27906106"
"053290","NE능률","KOSDAQ","우량기업부","3425","55","1.63","3370","3445","3270","92078","308135540","56602601475","16526307"
"181710","NHN","KOSPI",,"16710","1070","6.84","15620","16830","15600","116054","1895063580","564231915330","33766123"
"060250","NHN KCP","KOSDAQ GLOBAL","우량기업부","7070","270","3.97","6720","7110","6720","114170","787479150","283935519770","40160611"
"104200","NHN벅스","KOSDAQ","중견기업부","3100","35","1.14","3020","3100","3000","67332","203846745","45965405000","14827550"
"400760","NH올원리츠","KOSPI",,"3235","5","0.15","3240","3280","3200","69231","224572770","138545846425","42827155"
"005940","NH투자증권","KOSPI",,"13220","120","0.92","13230","13350","13130","263333","3486963440","4329448192780","327492299"
"005945","NH투자증권우","KOSPI",,"11840","110","0.94","11800","11840","11670","56361","661461010","223432261120","18870968"
"338100","NH프라임리츠","KOSPI",,"4570","5","0.11","4650","4650","4525","33094","150695215","85276200000","18660000"
"034310","NICE","KOSPI",,"10740","20","0.19","10760","10760","10590","22371","238635360","402787342980","37503477"
"030190","NICE평가정보","KOSPI",,"11150","610","5.79","10690","11290","10590","162022","1789951960","670200520500","60107670"
"008260","NI스틸","KOSPI",,"3860","420","12.21","3580","3950","3395","628317","2307608205","110396451620","28600117"
"004250","NPC","KOSPI",,"4350","-50","-1.14","4405","4460","4280","23747","103743585","159732000000","36720000"
"004255","NPC우","KOSPI",,"2540","10","0.40","2535","2540","2475","5740","14454515","13411200000","5280000"
"222160","NPX","KOSDAQ","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"456040","OCI","KOSPI",,"57900","1800","3.21","56100","58100","54700","21510","1212794500","518349460500","8952495"
"010060","OCI홀딩스","KOSPI",,"57800","1100","1.94","57900","58600","55500","64625","3696325100","1105561003400","19127353"
"178920","PI첨단소재","KOSPI",,"16250","-1960","-10.76","16950","16950","15720","151287","2432499760","477202732500","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","7380","1700","29.93","5850","7380","5320","4383954","28647315210","73800000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"277500","-32500","-10.48","287500","289000","274000","915970","255022164000","22928264617500","82624377"
"218410","RFHIC","KOSDAQ","우량기업부","13810","-260","-1.85","13900","14470","13540","297511","4126681840","365750144020","26484442"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","6980","-50","-0.71","6950","7070","6850","54260","377106730","58863952380","8433231"
"091340","S&K폴리텍","KOSDAQ","중견기업부","2715","245","9.92","2495","2740","2440","51823","130702090","31775602515","11703721"
"010950","S-Oil","KOSPI",,"54300","-800","-1.45","55500","55600","53900","191661","10434528500","6113245605600","112582792"
"010955","S-Oil우","KOSPI",,"40050","-550","-1.35","40550","40550","39800","4528","181023150","161078176350","4021927"
"419530","SAMG엔터","KOSDAQ","기술성장기업부","11550","-50","-0.43","11620","11790","11130","116612","1337147130","99225241500","8590930"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","711","-31","-4.18","747","759","708","1366268","982546764","115229334825","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","4780","1100","29.89","4780","4780","4780","140090","669630200","114971141200","24052540"
"034120","SBS","KOSPI",,"14940","150","1.01","14720","15150","14640","25861","382628410","277155495720","18551238"
"036120","SCI평가정보","KOSDAQ","중견기업부","2045","50","2.51","1955","2085","1955","142630","287903065","72597500000","35500000"
"246960","SCL사이언스","KOSDAQ","기술성장기업부","8100","-30","-0.37","8020","8400","7910","5455","43728970","58995548100","7283401"
"099220","SDN","KOSDAQ","중견기업부","1017","3","0.30","1052","1052","995","467126","472239952","57126731787","56171811"
"036540","SFA반도체","KOSDAQ","우량기업부","3150","120","3.96","2990","3170","2990","674500","2090542730","518049954450","164460303"
"255220","SG","KOSDAQ","중견기업부","3745","725","24.01","2915","3880","2860","65538973","234141168740","353424338400","94372320"
"040610","SG&G","KOSDAQ","중견기업부","1597","89","5.90","1508","1597","1479","60981","92696976","54437252012","34087196"
"049470","SGA","KOSDAQ","중견기업부","291","-2","-0.68","300","309","290","360510","107014580","17128914459","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","501","-12","-2.34","509","513","489","182258","90640107","31362179661","62599161"
"016250","SGC E&C","KOSDAQ","우량기업부","13900","-100","-0.71","14000","14090","13830","1637","22899150","45085831500","3243585"
"005090","SGC에너지","KOSPI",,"25100","-700","-2.71","25700","25700","24500","43372","1085038850","361674258300","14409333"
"001380","SG글로벌","KOSPI",,"3060","705","29.94","2385","3060","2355","6701871","18766660630","137590277580","44964143"
"004060","SG세계물산","KOSPI",,"327","6","1.87","321","330","308","1280821","405923177","66192961920","202424960"
"001770","SHD","KOSPI",,"16070","0","0.00","15910","16070","15260","1392","21505390","19523089460","1214878"
"002360","SH에너지화학","KOSPI",,"528","17","3.33","507","543","507","1050778","549951265","58678609440","111133730"
"009160","SIMPAC","KOSPI",,"3600","55","1.55","3490","3680","3450","31121","109590020","235546257600","65429516"
"033530","SJG세종","KOSPI",,"3960","125","3.26","3835","4000","3770","38243","147245510","110171005560","27820961"
"123700","SJM","KOSPI",,"3090","0","0.00","3055","3105","3000","44360","134761080","48219134820","15604898"
"025530","SJM홀딩스","KOSPI",,"3250","0","0.00","3300","3300","3200","12124","39342435","48535526000","14934008"
"034730","SK","KOSPI",,"135200","-3200","-2.31","138400","138700","135200","115429","15744693500","9802365445600","72502703"
"011790","SKC","KOSPI",,"103100","800","0.78","97900","105700","93400","524175","52432007700","3904221523800","37868298"
"018670","SK가스","KOSPI",,"204500","-500","-0.24","204500","206000","200000","10743","2178731000","1887584898000","9230244"
"001740","SK네트웍스","KOSPI",,"4545","25","0.55","4520","4585","4405","652245","2944808025","1005708064590","221277902"
"006120","SK디스커버리","KOSPI",,"35650","650","1.86","34650","35850","34650","37565","1329042100","669715730750","18785855"
"006125","SK디스커버리우","KOSPI",,"30600","-250","-0.81","31200","31250","30400","9364","287874050","41568723000","1358455"
"210980","SK디앤디","KOSPI",,"7250","140","1.97","7090","7330","7010","44394","317293510","134976019500","18617382"
